BESTGO probe @ 500000 bps  fclk_can=170000000
Captured 151 frames over ~10s in NORMAL mode

216446.406000 S     0x35A [8] 0000000000000000
216446.406000 S     0x35E [8] 4c56616969657900
216446.406000 S     0x35F [8] 0000010138000000
216446.406000 S     0x370 [8] 4c69746869756d00
216446.406000 S     0x371 [8] 56616c6c65790000
216446.406000 S     0x373 [8] e80cea0c27012801
216446.421000 S     0x374 [8] 01000d0001000200
216446.421000 S     0x375 [8] 0d00000000000000
216446.421000 S     0x376 [8] 0100000000000000
216446.421000 S     0x377 [8] 0200000000000000
216446.421000 S     0x379 [8] 3800000000000000
216447.109000 S     0x351 [8] 4002dc05d007c001
216447.125000 S     0x355 [8] 38006400e0150000
216447.125000 S     0x356 [8] a0140000dc000000
216447.140000 S     0x35A [8] 0000000000000000
216447.140000 S     0x35E [8] 4c56616969657900
216447.140000 S     0x35F [8] 0000010138000000
216447.140000 S     0x370 [8] 4c69746869756d00
216447.140000 S     0x371 [8] 56616c6c65790000
216447.140000 S     0x373 [8] e80cea0c27012801
216447.156000 S     0x374 [8] 10000a0001000200
216447.156000 S     0x375 [8] 0a00000000000000
216447.156000 S     0x376 [8] 0100000000000000
216447.171000 S     0x377 [8] 0200000000000000
216447.171000 S     0x379 [8] 3800000000000000
216448.125000 S     0x351 [8] 4002dc05d007c001
216448.125000 S     0x355 [8] 38006400e0150000
216448.125000 S     0x356 [8] a0140000dc000000
216448.125000 S     0x35A [8] 0000000000000000
216448.140000 S     0x35E [8] 4c56616969657900
216448.140000 S     0x35F [8] 0000010138000000
216448.140000 S     0x370 [8] 4c69746869756d00
216448.140000 S     0x371 [8] 56616c6c65790000
216448.140000 S     0x373 [8] e90cea0c27012801
216448.140000 S     0x374 [8] 0100030001000200
216448.156000 S     0x375 [8] 0300000000000000
216448.156000 S     0x376 [8] 0100000000000000
216448.171000 S     0x377 [8] 0200000000000000
216448.171000 S     0x379 [8] 3800000000000000
216449.109000 S     0x351 [8] 4002dc05d007c001
216449.125000 S     0x355 [8] 38006400e0150000
216449.125000 S     0x356 [8] a0140000dc000000
216449.125000 S     0x35A [8] 0000000000000000
216449.140000 S     0x35E [8] 4c56616969657900
216449.140000 S     0x35F [8] 0000010138000000
216449.140000 S     0x370 [8] 4c69746869756d00
216449.140000 S     0x371 [8] 56616c6c65790000
216449.140000 S     0x373 [8] e80cea0c27012801
216449.140000 S     0x374 [8] 1000030001000200
216449.156000 S     0x375 [8] 0300000000000000
216449.156000 S     0x376 [8] 0100000000000000
216449.156000 S     0x377 [8] 0200000000000000
216449.171000 S     0x379 [8] 3800000000000000
216450.109000 S     0x351 [8] 4002dc05d007c001
216450.125000 S     0x355 [8] 38006400e0150000
216450.125000 S     0x356 [8] a0140000dc000000
216450.125000 S     0x35A [8] 0000000000000000
216450.140000 S     0x35E [8] 4c56616969657900
