BESTGO probe @ 500000 bps  fclk_can=170000000
Captured 142 frames over ~10s in NORMAL mode

142015.078000 S     0x377 [8] 0100000000000000
142015.078000 S     0x379 [8] 3600000000000000
142015.406000 S     0x351 [8] 4002dc05d007c001
142015.406000 S     0x355 [8] 3600640072150000
142015.406000 S     0x356 [8] 8c140000be000000
142015.421000 S     0x35A [8] 0000000000000000
142015.421000 S     0x35E [8] 4c56616969657900
142015.421000 S     0x35F [8] 0000010136000000
142015.437000 S     0x370 [8] 4c69746869756d00
142015.437000 S     0x371 [8] 56616c6c65790000
142015.437000 S     0x373 [8] d70cd80c24012401
142015.437000 S     0x374 [8] 0100030001000100
142015.437000 S     0x375 [8] 0300000000000000
142015.437000 S     0x376 [8] 0100000000000000
142015.453000 S     0x377 [8] 0100000000000000
142015.453000 S     0x379 [8] 3600000000000000
142016.406000 S     0x351 [8] 4002dc05d007c001
142016.406000 S     0x355 [8] 3600640072150000
142016.406000 S     0x356 [8] 8c140000be000000
142016.421000 S     0x35A [8] 0000000000000000
142016.421000 S     0x35E [8] 4c56616969657900
142016.421000 S     0x35F [8] 0000010136000000
142016.421000 S     0x370 [8] 4c69746869756d00
142016.421000 S     0x371 [8] 56616c6c65790000
142016.421000 S     0x373 [8] d70cd80c24012401
142016.437000 S     0x374 [8] 0100030001000100
142016.437000 S     0x375 [8] 0300000000000000
142016.437000 S     0x376 [8] 0100000000000000
142016.453000 S     0x377 [8] 0100000000000000
142016.453000 S     0x379 [8] 3600000000000000
142017.406000 S     0x351 [8] 4002dc05d007c001
142017.406000 S     0x355 [8] 3600640072150000
142017.406000 S     0x356 [8] 8c140000be000000
142017.421000 S     0x35A [8] 0000000000000000
142017.421000 S     0x35E [8] 4c56616969657900
142017.421000 S     0x35F [8] 0000010136000000
142017.421000 S     0x370 [8] 4c69746869756d00
142017.421000 S     0x371 [8] 56616c6c65790000
142017.421000 S     0x373 [8] d70cd80c24012401
142017.437000 S     0x374 [8] 0100030001000100
142017.437000 S     0x375 [8] 0300000000000000
142017.437000 S     0x376 [8] 0100000000000000
142017.437000 S     0x377 [8] 0100000000000000
142017.437000 S     0x379 [8] 3600000000000000
142018.421000 S     0x351 [8] 4002dc05d007c001
142018.421000 S     0x355 [8] 3600640072150000
142018.421000 S     0x356 [8] 8c140000be000000
142018.421000 S     0x35A [8] 0000000000000000
142018.421000 S     0x35E [8] 4c56616969657900
142018.421000 S     0x35F [8] 0000010136000000
142018.437000 S     0x370 [8] 4c69746869756d00
142018.437000 S     0x371 [8] 56616c6c65790000
142018.437000 S     0x373 [8] d70cd80c24012401
142018.437000 S     0x374 [8] 0100030001000100
142018.453000 S     0x375 [8] 0300000000000000
142018.453000 S     0x376 [8] 0100000000000000
142018.453000 S     0x377 [8] 0100000000000000
142018.453000 S     0x379 [8] 3600000000000000
142019.406000 S     0x351 [8] 4002dc05d007c001
142019.406000 S     0x355 [8] 3600640072150000
142019.406000 S     0x356 [8] 8c140000be000000
142019.421000 S     0x35A [8] 0000000000000000
142019.421000 S     0x35E [8] 4c56616969657900
142019.421000 S     0x35F [8] 0000010136000000
142019.421000 S     0x370 [8] 4c69746869756d00
142019.421000 S     0x371 [8] 56616c6c65790000
142019.437000 S     0x373 [8] d70cd80c24012401
142019.437000 S     0x374 [8] 0100020001000100
142019.437000 S     0x375 [8] 0200000000000000
142019.437000 S     0x376 [8] 0100000000000000
142019.453000 S     0x377 [8] 0100000000000000
142019.453000 S     0x379 [8] 3600000000000000
142020.406000 S     0x351 [8] 4002dc05d007c001
142020.406000 S     0x355 [8] 3600640072150000
142020.406000 S     0x356 [8] 8c140000be000000
142020.421000 S     0x35A [8] 0000000000000000
142020.421000 S     0x35E [8] 4c56616969657900
142020.421000 S     0x35F [8] 0000010136000000
142020.421000 S     0x370 [8] 4c69746869756d00
142020.421000 S     0x371 [8] 56616c6c65790000
142020.421000 S     0x373 [8] d70cd80c24012401
142020.437000 S     0x374 [8] 0100020001000100
142020.437000 S     0x375 [8] 0200000000000000
142020.437000 S     0x376 [8] 0100000000000000
142020.453000 S     0x377 [8] 0100000000000000
142020.453000 S     0x379 [8] 3600000000000000
142021.390000 S     0x351 [8] 4002dc05d007c001
142021.390000 S     0x355 [8] 3600640072150000
142021.406000 S     0x356 [8] 8c140000be000000
142021.406000 S     0x35A [8] 0000000000000000
142021.406000 S     0x35E [8] 4c56616969657900
142021.406000 S     0x35F [8] 0000010136000000
142021.421000 S     0x370 [8] 4c69746869756d00
142021.421000 S     0x371 [8] 56616c6c65790000
142021.421000 S     0x373 [8] d70cd80c24012401
142021.421000 S     0x374 [8] 0100030001000100
142021.421000 S     0x375 [8] 0300000000000000
142021.421000 S     0x376 [8] 0100000000000000
142021.437000 S     0x377 [8] 0100000000000000
142021.437000 S     0x379 [8] 3600000000000000
142022.406000 S     0x351 [8] 4002dc05d007c001
142022.406000 S     0x355 [8] 3600640072150000
142022.406000 S     0x356 [8] 8c140000be000000
142022.421000 S     0x35A [8] 0000000000000000
142022.421000 S     0x35E [8] 4c56616969657900
142022.421000 S     0x35F [8] 0000010136000000
142022.437000 S     0x370 [8] 4c69746869756d00
142022.437000 S     0x371 [8] 56616c6c65790000
142022.437000 S     0x373 [8] d70cd80c24012401
142022.437000 S     0x374 [8] 0100030001000100
142022.437000 S     0x375 [8] 0300000000000000
142022.437000 S     0x376 [8] 0100000000000000
142022.453000 S     0x377 [8] 0100000000000000
142022.453000 S     0x379 [8] 3600000000000000
142023.406000 S     0x351 [8] 4002dc05d007c001
142023.406000 S     0x355 [8] 3600640072150000
142023.406000 S     0x356 [8] 8c140000be000000
142023.421000 S     0x35A [8] 0000000000000000
142023.421000 S     0x35E [8] 4c56616969657900
142023.421000 S     0x35F [8] 0000010136000000
142023.437000 S     0x370 [8] 4c69746869756d00
142023.437000 S     0x371 [8] 56616c6c65790000
142023.437000 S     0x373 [8] d70cd80c24012401
142023.437000 S     0x374 [8] 0100030001000100
142023.437000 S     0x375 [8] 0300000000000000
142023.437000 S     0x376 [8] 0100000000000000
142023.453000 S     0x377 [8] 0100000000000000
142023.453000 S     0x379 [8] 3600000000000000
142024.406000 S     0x351 [8] 4002dc05d007c001
142024.406000 S     0x355 [8] 3600640072150000
142024.406000 S     0x356 [8] 8c140000be000000
142024.421000 S     0x35A [8] 0000000000000000
142024.421000 S     0x35E [8] 4c56616969657900
142024.421000 S     0x35F [8] 0000010136000000
142024.437000 S     0x370 [8] 4c69746869756d00
142024.437000 S     0x371 [8] 56616c6c65790000
142024.437000 S     0x373 [8] d70cd80c24012401
142024.437000 S     0x374 [8] 0100040001000100
142024.437000 S     0x375 [8] 0400000000000000
142024.437000 S     0x376 [8] 0100000000000000
142024.453000 S     0x377 [8] 0100000000000000
142024.453000 S     0x379 [8] 3600000000000000
